OfficialNames,CanonicalSmiles,uM
"Indian Approved Name=alcohol;absolute alcohol;polivinyl alcohol;ethyl alcohol;ethanol;lanolin alcohol,WHO Essential Medicine=ethanol,Australia Approved Name=ALCOHOL;ETHANOL,Traditional Herbal Isolate=ethyl alcohol;psyllostearyl alcohol pterosterone;trihydric alcohol,FDA Approved Drug=ALCOHOL",CCO,22.22
Traditional Herbal Isolate=methyl mercaptan;methanethiol,CS,1.39
Traditional Herbal Isolate=methyl mercaptan;methanethiol,CS,2.78
Traditional Herbal Isolate=methyl mercaptan;methanethiol,CS,5.56
Traditional Herbal Isolate=methyl mercaptan;methanethiol,CS,11.11
Traditional Herbal Isolate=methyl mercaptan;methanethiol,CS,22.22
Traditional Herbal Isolate=acetone,CC(=O)C,1.39
Traditional Herbal Isolate=acetone,CC(=O)C,2.78
Traditional Herbal Isolate=acetone,CC(=O)C,5.56
Traditional Herbal Isolate=acetone,CC(=O)C,11.11
Traditional Herbal Isolate=acetone,CC(=O)C,22.22
"Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE",CC(=O)[O-],1.39
"Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE",CC(=O)[O-],2.78
"Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE",CC(=O)[O-],5.56
"Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE",CC(=O)[O-],11.11
"Indian Approved Name=calcium acetate;acetic acid,NPC Approved Name=aluminum diacetate,Traditional Herbal Isolate=acetic acid,Australia Approved Name=ACETIC ACID;POTASSIUM ACETATE;SODIUM ACETATE,WHO Essential Medicine=acetic acid,FDA Approved Drug=ACETIC ACID, GLACIAL;CALCIUM ACETATE;MAGNESIUM ACETATE TETRAHYDRATE;POTASSIUM ACETATE;SODIUM ACETATE;SODIUM ACETATE ANHYDROUS;ZINC ACETATE",CC(=O)[O-],22.22
"China Approved Name=calcium carbonate;hydrotalcite,Indian Approved Name=calcium carbonate;lithium carbonate;mag carbonate;sodium bicarbonate;lanthanum carbonate,WHO Essential Medicine=lithium carbonate;sodium hydrogen carbonate,Australia Approved Name=LITHIUM CARBONATE;SODIUM BICARBONATE,FDA Approved Drug=CALCIUM CARBONATE;LANTHANUM CARBONATE;LITHIUM CARBONATE;MAGNESIUM CARBONATE;MAGNESIUM TRISILICATE;SODIUM BICARBONATE;SODIUM CARBONATE",C(=O)([O-])[O-],1.39
"China Approved Name=calcium carbonate;hydrotalcite,Indian Approved Name=calcium carbonate;lithium carbonate;mag carbonate;sodium bicarbonate;lanthanum carbonate,WHO Essential Medicine=lithium carbonate;sodium hydrogen carbonate,Australia Approved Name=LITHIUM CARBONATE;SODIUM BICARBONATE,FDA Approved Drug=CALCIUM CARBONATE;LANTHANUM CARBONATE;LITHIUM CARBONATE;MAGNESIUM CARBONATE;MAGNESIUM TRISILICATE;SODIUM BICARBONATE;SODIUM CARBONATE",C(=O)([O-])[O-],2.78
"China Approved Name=calcium carbonate;hydrotalcite,Indian Approved Name=calcium carbonate;lithium carbonate;mag carbonate;sodium bicarbonate;lanthanum carbonate,WHO Essential Medicine=lithium carbonate;sodium hydrogen carbonate,Australia Approved Name=LITHIUM CARBONATE;SODIUM BICARBONATE,FDA Approved Drug=CALCIUM CARBONATE;LANTHANUM CARBONATE;LITHIUM CARBONATE;MAGNESIUM CARBONATE;MAGNESIUM TRISILICATE;SODIUM BICARBONATE;SODIUM CARBONATE",C(=O)([O-])[O-],5.56
"China Approved Name=calcium carbonate;hydrotalcite,Indian Approved Name=calcium carbonate;lithium carbonate;mag carbonate;sodium bicarbonate;lanthanum carbonate,WHO Essential Medicine=lithium carbonate;sodium hydrogen carbonate,Australia Approved Name=LITHIUM CARBONATE;SODIUM BICARBONATE,FDA Approved Drug=CALCIUM CARBONATE;LANTHANUM CARBONATE;LITHIUM CARBONATE;MAGNESIUM CARBONATE;MAGNESIUM TRISILICATE;SODIUM BICARBONATE;SODIUM CARBONATE",C(=O)([O-])[O-],11.11
"China Approved Name=calcium carbonate;hydrotalcite,Indian Approved Name=calcium carbonate;lithium carbonate;mag carbonate;sodium bicarbonate;lanthanum carbonate,WHO Essential Medicine=lithium carbonate;sodium hydrogen carbonate,Australia Approved Name=LITHIUM CARBONATE;SODIUM BICARBONATE,FDA Approved Drug=CALCIUM CARBONATE;LANTHANUM CARBONATE;LITHIUM CARBONATE;MAGNESIUM CARBONATE;MAGNESIUM TRISILICATE;SODIUM BICARBONATE;SODIUM CARBONATE",C(=O)([O-])[O-],22.22
"Indian Approved Name=urea,Traditional Herbal Isolate=urea,Australia Approved Name=UREA CREAM AQUEOUS;UREA CREAM CETOMACROGOL,China Approved Name=urea,WHO Essential Medicine=urea,FDA Approved Drug=UREA",C(=O)(N)N,1.39
"Indian Approved Name=urea,Traditional Herbal Isolate=urea,Australia Approved Name=UREA CREAM AQUEOUS;UREA CREAM CETOMACROGOL,China Approved Name=urea,WHO Essential Medicine=urea,FDA Approved Drug=UREA",C(=O)(N)N,2.78
"Indian Approved Name=urea,Traditional Herbal Isolate=urea,Australia Approved Name=UREA CREAM AQUEOUS;UREA CREAM CETOMACROGOL,China Approved Name=urea,WHO Essential Medicine=urea,FDA Approved Drug=UREA",C(=O)(N)N,5.56
"Indian Approved Name=urea,Traditional Herbal Isolate=urea,Australia Approved Name=UREA CREAM AQUEOUS;UREA CREAM CETOMACROGOL,China Approved Name=urea,WHO Essential Medicine=urea,FDA Approved Drug=UREA",C(=O)(N)N,11.11
"Indian Approved Name=urea,Traditional Herbal Isolate=urea,Australia Approved Name=UREA CREAM AQUEOUS;UREA CREAM CETOMACROGOL,China Approved Name=urea,WHO Essential Medicine=urea,FDA Approved Drug=UREA",C(=O)(N)N,22.22
FDA Approved Drug=GUANIDINE HYDROCHLORIDE,C(=[NH2+])(N)N,1.39
FDA Approved Drug=GUANIDINE HYDROCHLORIDE,C(=[NH2+])(N)N,2.78
FDA Approved Drug=GUANIDINE HYDROCHLORIDE,C(=[NH2+])(N)N,5.56
FDA Approved Drug=GUANIDINE HYDROCHLORIDE,C(=[NH2+])(N)N,11.11
FDA Approved Drug=GUANIDINE HYDROCHLORIDE,C(=[NH2+])(N)N,22.22
Traditional Herbal Isolate=amorphous dracoalban;amorphous dracoresene;silica,O=[Si]=O,1.39
Traditional Herbal Isolate=amorphous dracoalban;amorphous dracoresene;silica,O=[Si]=O,2.78
Traditional Herbal Isolate=amorphous dracoalban;amorphous dracoresene;silica,O=[Si]=O,5.56
Traditional Herbal Isolate=amorphous dracoalban;amorphous dracoresene;silica,O=[Si]=O,11.11
Traditional Herbal Isolate=amorphous dracoalban;amorphous dracoresene;silica,O=[Si]=O,22.22
FDA Approved Drug=ISOPROPYL ALCOHOL,CC(C)O,1.39
FDA Approved Drug=ISOPROPYL ALCOHOL,CC(C)O,2.78
FDA Approved Drug=ISOPROPYL ALCOHOL,CC(C)O,5.56
FDA Approved Drug=ISOPROPYL ALCOHOL,CC(C)O,11.11
FDA Approved Drug=ISOPROPYL ALCOHOL,CC(C)O,22.22
"China Approved Name=boric acid,Indian Approved Name=boric acid",B(O)(O)O,1.39
"China Approved Name=boric acid,Indian Approved Name=boric acid",B(O)(O)O,2.78
"China Approved Name=boric acid,Indian Approved Name=boric acid",B(O)(O)O,5.56
"China Approved Name=boric acid,Indian Approved Name=boric acid",B(O)(O)O,11.11
"China Approved Name=boric acid,Indian Approved Name=boric acid",B(O)(O)O,22.22
"Traditional Herbal Isolate=potassium nitrate,Australia Approved Name=SILVER NITRATE,FDA Approved Drug=GALLIUM NITRATE",[N+](=O)([O-])[O-],1.39
"Traditional Herbal Isolate=potassium nitrate,Australia Approved Name=SILVER NITRATE,FDA Approved Drug=GALLIUM NITRATE",[N+](=O)([O-])[O-],2.78
"Traditional Herbal Isolate=potassium nitrate,Australia Approved Name=SILVER NITRATE,FDA Approved Drug=GALLIUM NITRATE",[N+](=O)([O-])[O-],5.56
"Traditional Herbal Isolate=potassium nitrate,Australia Approved Name=SILVER NITRATE,FDA Approved Drug=GALLIUM NITRATE",[N+](=O)([O-])[O-],11.11
"Traditional Herbal Isolate=potassium nitrate,Australia Approved Name=SILVER NITRATE,FDA Approved Drug=GALLIUM NITRATE",[N+](=O)([O-])[O-],22.22
Traditional Herbal Isolate=furane,c1ccoc1,1.39
Traditional Herbal Isolate=furane,c1ccoc1,2.78
Traditional Herbal Isolate=furane,c1ccoc1,5.56
Traditional Herbal Isolate=furane,c1ccoc1,11.11
Traditional Herbal Isolate=furane,c1ccoc1,22.22
Traditional Herbal Isolate=isoxazole alkaloid,c1cnoc1,1.39
Traditional Herbal Isolate=isoxazole alkaloid,c1cnoc1,2.78
Traditional Herbal Isolate=isoxazole alkaloid,c1cnoc1,5.56
Traditional Herbal Isolate=isoxazole alkaloid,c1cnoc1,11.11
Traditional Herbal Isolate=isoxazole alkaloid,c1cnoc1,22.22
Indian Approved Name=carbomer,C=CC(=O)[O-],1.39
Indian Approved Name=carbomer,C=CC(=O)[O-],2.78
Indian Approved Name=carbomer,C=CC(=O)[O-],5.56
Indian Approved Name=carbomer,C=CC(=O)[O-],11.11
Indian Approved Name=carbomer,C=CC(=O)[O-],22.22
FDA Approved Drug=PROPIOLACTONE,C1COC1=O,1.39
FDA Approved Drug=PROPIOLACTONE,C1COC1=O,2.78
FDA Approved Drug=PROPIOLACTONE,C1COC1=O,5.56
FDA Approved Drug=PROPIOLACTONE,C1COC1=O,11.11
FDA Approved Drug=PROPIOLACTONE,C1COC1=O,22.22
Traditional Herbal Isolate=pyrrolidine,C1CC[NH2+]C1,1.39
Traditional Herbal Isolate=pyrrolidine,C1CC[NH2+]C1,2.78
Traditional Herbal Isolate=pyrrolidine,C1CC[NH2+]C1,5.56
Traditional Herbal Isolate=pyrrolidine,C1CC[NH2+]C1,11.11
Traditional Herbal Isolate=pyrrolidine,C1CC[NH2+]C1,22.22
Traditional Herbal Isolate=ellegic acids;methyl-acetic acid;platycodigenic acids;propionic acid,CCC(=O)[O-],1.39
Traditional Herbal Isolate=ellegic acids;methyl-acetic acid;platycodigenic acids;propionic acid,CCC(=O)[O-],2.78
Traditional Herbal Isolate=ellegic acids;methyl-acetic acid;platycodigenic acids;propionic acid,CCC(=O)[O-],5.56
Traditional Herbal Isolate=ellegic acids;methyl-acetic acid;platycodigenic acids;propionic acid,CCC(=O)[O-],11.11
Traditional Herbal Isolate=ellegic acids;methyl-acetic acid;platycodigenic acids;propionic acid,CCC(=O)[O-],22.22
Indian Approved Name=butyl alcohol;n-butanol,CCCCO,1.39
Indian Approved Name=butyl alcohol;n-butanol,CCCCO,2.78
Indian Approved Name=butyl alcohol;n-butanol,CCCCO,5.56
Indian Approved Name=butyl alcohol;n-butanol,CCCCO,11.11
Indian Approved Name=butyl alcohol;n-butanol,CCCCO,22.22
China Approved Name=phthalocyanine butylamine,CCCC[NH3+],1.39
China Approved Name=phthalocyanine butylamine,CCCC[NH3+],2.78
China Approved Name=phthalocyanine butylamine,CCCC[NH3+],5.56
China Approved Name=phthalocyanine butylamine,CCCC[NH3+],11.11
China Approved Name=phthalocyanine butylamine,CCCC[NH3+],22.22
"Traditional Herbal Isolate=glycolic acid,Indian Approved Name=glycolic acid",C(C(=O)[O-])O,1.39
"Traditional Herbal Isolate=glycolic acid,Indian Approved Name=glycolic acid",C(C(=O)[O-])O,2.78
"Traditional Herbal Isolate=glycolic acid,Indian Approved Name=glycolic acid",C(C(=O)[O-])O,5.56
"Traditional Herbal Isolate=glycolic acid,Indian Approved Name=glycolic acid",C(C(=O)[O-])O,11.11
"Traditional Herbal Isolate=glycolic acid,Indian Approved Name=glycolic acid",C(C(=O)[O-])O,22.22
"Traditional Herbal Isolate=glycine,Indian Approved Name=glycine;alum glycinate;ferrous bisglycinate;capryloyl glycine;ferrous glycine sulph,FDA Approved Drug=GLYCINE",C(C(=O)[O-])[NH3+],1.39
"Traditional Herbal Isolate=glycine,Indian Approved Name=glycine;alum glycinate;ferrous bisglycinate;capryloyl glycine;ferrous glycine sulph,FDA Approved Drug=GLYCINE",C(C(=O)[O-])[NH3+],2.78
"Traditional Herbal Isolate=glycine,Indian Approved Name=glycine;alum glycinate;ferrous bisglycinate;capryloyl glycine;ferrous glycine sulph,FDA Approved Drug=GLYCINE",C(C(=O)[O-])[NH3+],5.56
"Traditional Herbal Isolate=glycine,Indian Approved Name=glycine;alum glycinate;ferrous bisglycinate;capryloyl glycine;ferrous glycine sulph,FDA Approved Drug=GLYCINE",C(C(=O)[O-])[NH3+],11.11
"Traditional Herbal Isolate=glycine,Indian Approved Name=glycine;alum glycinate;ferrous bisglycinate;capryloyl glycine;ferrous glycine sulph,FDA Approved Drug=GLYCINE",C(C(=O)[O-])[NH3+],22.22
"Indian Approved Name=acetomenadione,FDA Approved Drug=ACETOHYDROXAMIC ACID",CC(=O)NO,1.39
"Indian Approved Name=acetomenadione,FDA Approved Drug=ACETOHYDROXAMIC ACID",CC(=O)NO,2.78
"Indian Approved Name=acetomenadione,FDA Approved Drug=ACETOHYDROXAMIC ACID",CC(=O)NO,5.56
"Indian Approved Name=acetomenadione,FDA Approved Drug=ACETOHYDROXAMIC ACID",CC(=O)NO,11.11
"Indian Approved Name=acetomenadione,FDA Approved Drug=ACETOHYDROXAMIC ACID",CC(=O)NO,22.22
"China Approved Name=hydroxyurea,Indian Approved Name=hydroxyurea,WHO Essential Medicine=hydroxycarbamide,Australia Approved Name=HYDROXYCARBAMIDE;HYDROXYUREA,FDA Approved Drug=HYDROXYUREA",C(=O)(N)NO,1.39
"China Approved Name=hydroxyurea,Indian Approved Name=hydroxyurea,WHO Essential Medicine=hydroxycarbamide,Australia Approved Name=HYDROXYCARBAMIDE;HYDROXYUREA,FDA Approved Drug=HYDROXYUREA",C(=O)(N)NO,2.78
"China Approved Name=hydroxyurea,Indian Approved Name=hydroxyurea,WHO Essential Medicine=hydroxycarbamide,Australia Approved Name=HYDROXYCARBAMIDE;HYDROXYUREA,FDA Approved Drug=HYDROXYUREA",C(=O)(N)NO,5.56
"China Approved Name=hydroxyurea,Indian Approved Name=hydroxyurea,WHO Essential Medicine=hydroxycarbamide,Australia Approved Name=HYDROXYCARBAMIDE;HYDROXYUREA,FDA Approved Drug=HYDROXYUREA",C(=O)(N)NO,11.11
"China Approved Name=hydroxyurea,Indian Approved Name=hydroxyurea,WHO Essential Medicine=hydroxycarbamide,Australia Approved Name=HYDROXYCARBAMIDE;HYDROXYUREA,FDA Approved Drug=HYDROXYUREA",C(=O)(N)NO,22.22
Australia Approved Name=PROPYLENE GLYCOL,CC(CO)O,1.39
Australia Approved Name=PROPYLENE GLYCOL,CC(CO)O,2.78
Australia Approved Name=PROPYLENE GLYCOL,CC(CO)O,5.56
Australia Approved Name=PROPYLENE GLYCOL,CC(CO)O,11.11
Australia Approved Name=PROPYLENE GLYCOL,CC(CO)O,22.22
FDA Approved Drug=METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,COCCO,1.39
FDA Approved Drug=METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,COCCO,2.78
FDA Approved Drug=METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,COCCO,5.56
FDA Approved Drug=METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,COCCO,11.11
FDA Approved Drug=METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,COCCO,22.22
"Indian Approved Name=sodium silicate,FDA Approved Drug=TALC",O[Si](=O)O,1.39
"Indian Approved Name=sodium silicate,FDA Approved Drug=TALC",O[Si](=O)O,2.78
"Indian Approved Name=sodium silicate,FDA Approved Drug=TALC",O[Si](=O)O,5.56
"Indian Approved Name=sodium silicate,FDA Approved Drug=TALC",O[Si](=O)O,11.11
"Indian Approved Name=sodium silicate,FDA Approved Drug=TALC",O[Si](=O)O,22.22
FDA Approved Drug=DIMETHYL SULFOXIDE,CS(=O)C,1.39
FDA Approved Drug=DIMETHYL SULFOXIDE,CS(=O)C,2.78
FDA Approved Drug=DIMETHYL SULFOXIDE,CS(=O)C,5.56
FDA Approved Drug=DIMETHYL SULFOXIDE,CS(=O)C,11.11
FDA Approved Drug=DIMETHYL SULFOXIDE,CS(=O)C,22.22
"China Approved Name=mercaptamine,FDA Approved Drug=CYSTEAMINE BITARTRATE",C(CS)[NH3+],1.39
"China Approved Name=mercaptamine,FDA Approved Drug=CYSTEAMINE BITARTRATE",C(CS)[NH3+],2.78
"China Approved Name=mercaptamine,FDA Approved Drug=CYSTEAMINE BITARTRATE",C(CS)[NH3+],5.56
"China Approved Name=mercaptamine,FDA Approved Drug=CYSTEAMINE BITARTRATE",C(CS)[NH3+],11.11
"China Approved Name=mercaptamine,FDA Approved Drug=CYSTEAMINE BITARTRATE",C(CS)[NH3+],22.22
Traditional Herbal Isolate=pyridine,c1ccncc1,1.39
Traditional Herbal Isolate=pyridine,c1ccncc1,2.78
Traditional Herbal Isolate=pyridine,c1ccncc1,5.56
Traditional Herbal Isolate=pyridine,c1ccncc1,11.11
Traditional Herbal Isolate=pyridine,c1ccncc1,22.22
"Indian Approved Name=titanium oxide,FDA Approved Drug=TITANIUM DIOXIDE",O=[Ti]=O,1.39
"Indian Approved Name=titanium oxide,FDA Approved Drug=TITANIUM DIOXIDE",O=[Ti]=O,2.78
"Indian Approved Name=titanium oxide,FDA Approved Drug=TITANIUM DIOXIDE",O=[Ti]=O,5.56
"Indian Approved Name=titanium oxide,FDA Approved Drug=TITANIUM DIOXIDE",O=[Ti]=O,11.11
"Indian Approved Name=titanium oxide,FDA Approved Drug=TITANIUM DIOXIDE",O=[Ti]=O,22.22
NPC Approved Name=lemildipine,C1C=CNC=C1,1.39
NPC Approved Name=lemildipine,C1C=CNC=C1,2.78
NPC Approved Name=lemildipine,C1C=CNC=C1,5.56
NPC Approved Name=lemildipine,C1C=CNC=C1,11.11
NPC Approved Name=lemildipine,C1C=CNC=C1,22.22
"China Approved Name=zinc oxide,Indian Approved Name=zinc oxide,Australia Approved Name=ZINC OXIDE,FDA Approved Drug=ZINC OXIDE",O=[Zn],1.39
"China Approved Name=zinc oxide,Indian Approved Name=zinc oxide,Australia Approved Name=ZINC OXIDE,FDA Approved Drug=ZINC OXIDE",O=[Zn],2.78
"China Approved Name=zinc oxide,Indian Approved Name=zinc oxide,Australia Approved Name=ZINC OXIDE,FDA Approved Drug=ZINC OXIDE",O=[Zn],5.56
"China Approved Name=zinc oxide,Indian Approved Name=zinc oxide,Australia Approved Name=ZINC OXIDE,FDA Approved Drug=ZINC OXIDE",O=[Zn],11.11
"China Approved Name=zinc oxide,Indian Approved Name=zinc oxide,Australia Approved Name=ZINC OXIDE,FDA Approved Drug=ZINC OXIDE",O=[Zn],22.22
FDA Approved Drug=FOMEPIZOLE,Cc1c[nH]nc1,1.39
FDA Approved Drug=FOMEPIZOLE,Cc1c[nH]nc1,2.78
FDA Approved Drug=FOMEPIZOLE,Cc1c[nH]nc1,5.56
FDA Approved Drug=FOMEPIZOLE,Cc1c[nH]nc1,11.11
FDA Approved Drug=FOMEPIZOLE,Cc1c[nH]nc1,22.22
Traditional Herbal Isolate=crotonic acid,C/C=C/C(=O)[O-],1.39
Traditional Herbal Isolate=crotonic acid,C/C=C/C(=O)[O-],2.78
Traditional Herbal Isolate=crotonic acid,C/C=C/C(=O)[O-],5.56
Traditional Herbal Isolate=crotonic acid,C/C=C/C(=O)[O-],11.11
Traditional Herbal Isolate=crotonic acid,C/C=C/C(=O)[O-],22.22
Traditional Herbal Isolate=valeraldehyde,CCCCC=O,1.39
Traditional Herbal Isolate=valeraldehyde,CCCCC=O,2.78
Traditional Herbal Isolate=valeraldehyde,CCCCC=O,5.56
Traditional Herbal Isolate=valeraldehyde,CCCCC=O,11.11
Traditional Herbal Isolate=valeraldehyde,CCCCC=O,22.22
Traditional Herbal Isolate=iso-valeraldehyde,CC(C)CC=O,1.39
Traditional Herbal Isolate=iso-valeraldehyde,CC(C)CC=O,2.78
Traditional Herbal Isolate=iso-valeraldehyde,CC(C)CC=O,5.56
Traditional Herbal Isolate=iso-valeraldehyde,CC(C)CC=O,11.11
Traditional Herbal Isolate=iso-valeraldehyde,CC(C)CC=O,22.22
Traditional Herbal Isolate=piperidine,C1CC[NH2+]CC1,1.39
Traditional Herbal Isolate=piperidine,C1CC[NH2+]CC1,2.78
Traditional Herbal Isolate=piperidine,C1CC[NH2+]CC1,5.56
Traditional Herbal Isolate=piperidine,C1CC[NH2+]CC1,11.11
Traditional Herbal Isolate=piperidine,C1CC[NH2+]CC1,22.22
"China Approved Name=Piperazine,Indian Approved Name=piperazine;triptorelin;piperazine phos,FDA Approved Drug=PIPERAZINE CITRATE",C1CNCC[NH2+]1,1.39
"China Approved Name=Piperazine,Indian Approved Name=piperazine;triptorelin;piperazine phos,FDA Approved Drug=PIPERAZINE CITRATE",C1CNCC[NH2+]1,2.78
"China Approved Name=Piperazine,Indian Approved Name=piperazine;triptorelin;piperazine phos,FDA Approved Drug=PIPERAZINE CITRATE",C1CNCC[NH2+]1,5.56
"China Approved Name=Piperazine,Indian Approved Name=piperazine;triptorelin;piperazine phos,FDA Approved Drug=PIPERAZINE CITRATE",C1CNCC[NH2+]1,11.11
"China Approved Name=Piperazine,Indian Approved Name=piperazine;triptorelin;piperazine phos,FDA Approved Drug=PIPERAZINE CITRATE",C1CNCC[NH2+]1,22.22
Traditional Herbal Isolate=oxalate;oxalic acids,C(=O)(C(=O)[O-])[O-],1.39
Traditional Herbal Isolate=oxalate;oxalic acids,C(=O)(C(=O)[O-])[O-],2.78
Traditional Herbal Isolate=oxalate;oxalic acids,C(=O)(C(=O)[O-])[O-],5.56
Traditional Herbal Isolate=oxalate;oxalic acids,C(=O)(C(=O)[O-])[O-],11.11
Traditional Herbal Isolate=oxalate;oxalic acids,C(=O)(C(=O)[O-])[O-],22.22
"WHO Essential Medicine=sodium lactate;sodium lactate,Indian Approved Name=lactic acid;sodium lactate,FDA Approved Drug=AMMONIUM LACTATE;LACTIC ACID;POTASSIUM LACTATE;SODIUM LACTATE",CC(C(=O)[O-])O,1.39
